RUBRO_KEY;SUB_RUBRO_AGRUPADO;RUBRO_AGRUPADO;Columna1;Columna2;Columna3;AGRUPADO_NUEVO;AGRUPACION IC
2024;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2025;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;ENTRETENIMIENTO Y RECREACION
2026;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2027;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2028;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2029;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2030;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2031;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2032;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2033;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2034;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2035;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;HOGAR;HOGAR
2036;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;EDUCACION
2037;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2038;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
2039;E-COMMERCE;VENTA_TELEFONICA;E-COMMERCE;VENTA_TELEFONICA;1;OTROS;OTROS
